Latitude,Longitude,Altitude,Time
-34.55356202,-58.46746006,25.899999618530273,2021-06-10T06:51:21Z
-34.55355332,-58.46745591,27.200000762939453,2021-06-10T06:51:23Z
-34.55354588,-58.46744961,28.100000381469727,2021-06-10T06:51:36Z
-34.55356675,-58.46746039,27.600000381469727,2021-06-10T06:57:12Z
-34.55349999,-58.46752465,26.700000762939453,2021-06-10T06:57:16Z
-34.55356827,-58.46753972,27.799999237060547,2021-06-10T06:57:18Z
-34.55359867,-58.46753822,30.700000762939453,2021-06-10T06:57:19Z
-34.55362742,-58.467561,33.70000076293945,2021-06-10T06:57:21Z
-34.55364974,-58.46758132,35.20000076293945,2021-06-10T06:57:23Z
-34.55367336,-58.46760133,35.599998474121094,2021-06-10T06:57:25Z
-34.55369683,-58.4676215,35.5,2021-06-10T06:57:28Z
-34.55369542,-58.46765106,35.79999923706055,2021-06-10T06:57:30Z
-34.55368371,-58.46772767,37.0,2021-06-10T06:57:32Z
-34.55373834,-58.46778534,36.0,2021-06-10T06:57:34Z
-34.55374963,-58.4677784,37.400001525878906,2021-06-10T06:57:35Z
-34.55376061,-58.46777362,37.099998474121094,2021-06-10T06:57:37Z
-34.55378124,-58.46779379,36.79999923706055,2021-06-10T06:57:39Z
-34.55379864,-58.46779365,36.79999923706055,2021-06-10T06:57:41Z
-34.55381244,-58.46779276,36.79999923706055,2021-06-10T06:57:43Z
-34.55382395,-58.46779166,36.79999923706055,2021-06-10T06:57:45Z
-34.55383471,-58.46778952,36.900001525878906,2021-06-10T06:57:47Z
-34.5538393,-58.46777769,36.900001525878906,2021-06-10T06:57:49Z
-34.55385208,-58.46777811,36.900001525878906,2021-06-10T06:57:51Z
-34.55381569,-58.46769929,36.599998474121094,2021-06-10T06:58:06Z
-34.55377156,-58.46761222,36.599998474121094,2021-06-10T06:58:07Z
-34.55376761,-58.46759928,36.5,2021-06-10T06:58:09Z
-34.55375919,-58.46759142,36.5,2021-06-10T06:58:11Z
-34.55372199,-58.46756997,36.29999923706055,2021-06-10T06:58:17Z
-34.55368718,-58.4675175,36.29999923706055,2021-06-10T06:58:19Z
-34.55366045,-58.46752615,36.70000076293945,2021-06-10T06:58:21Z
-34.55363718,-58.46756694,36.79999923706055,2021-06-10T06:58:23Z
-34.55356945,-58.46760795,38.20000076293945,2021-06-10T06:58:25Z
-34.55359551,-58.46770798,40.79999923706055,2021-06-10T06:58:27Z
-34.55357119,-58.46776362,43.5,2021-06-10T06:58:29Z
-34.55357895,-58.46783269,46.0,2021-06-10T06:58:31Z
-34.55360798,-58.46787756,43.20000076293945,2021-06-10T06:58:33Z
-34.55364608,-58.46787896,46.70000076293945,2021-06-10T06:58:35Z
-34.55359463,-58.46776956,46.79999923706055,2021-06-10T06:58:37Z
-34.55359052,-58.46774914,47.400001525878906,2021-06-10T06:58:41Z
-34.55361222,-58.46776184,48.29999923706055,2021-06-10T06:58:45Z
-34.55360463,-58.46774463,47.099998474121094,2021-06-10T06:58:53Z
-34.55360058,-58.46773202,47.400001525878906,2021-06-10T06:59:06Z
-34.55359987,-58.46772069,47.400001525878906,2021-06-10T06:59:50Z
-34.55359443,-58.46770143,47.79999923706055,2021-06-10T06:59:54Z
-34.55358745,-58.46768175,48.099998474121094,2021-06-10T06:59:56Z
-34.55358192,-58.4676699,48.29999923706055,2021-06-10T07:00:01Z
-34.5535775,-58.46766034,48.400001525878906,2021-06-10T07:00:03Z
-34.55357657,-58.46764914,48.70000076293945,2021-06-10T07:01:10Z
-34.55358821,-58.46765027,47.20000076293945,2021-06-10T07:01:51Z
-34.55357954,-58.46763215,47.0,2021-06-10T07:01:53Z
-34.55358741,-58.46766096,46.20000076293945,2021-06-10T07:01:54Z
-34.55360165,-58.46769067,45.79999923706055,2021-06-10T07:01:56Z
-34.55362135,-58.46772262,45.599998474121094,2021-06-10T07:01:58Z
